Frame_No,Template_No,x,y,mx,my
81,2,210,227,212.77296,221.43234
81,3,573,152,577.0548,143.19327
81,4,675,219,679.7973,208.85078
81,5,1028,502,1018.9883,488.32712
82,1,106,242,107.813675,237.48032
82,2,210,227,212.60692,221.37268
82,3,573,152,577.0537,143.1818
82,4,675,219,679.60956,209.00111
82,5,1028,502,1018.66974,488.42773
83,1,106,242,107.8604,237.51889
83,2,210,227,212.55937,221.38382
83,3,573,152,577.1365,143.21701
83,4,675,219,679.6222,209.0212
83,5,1028,502,1018.514,488.248
84,1,106,242,107.35005,236.54172
84,2,210,227,212.1753,220.49101
84,3,573,152,577.1415,142.85214
84,4,675,219,679.8023,208.71562
84,5,1028,502,1018.2763,487.9737
85,1,106,242,107.320145,236.4151
85,2,210,227,212.32806,220.32056
85,3,573,152,577.2928,142.79593
85,4,675,219,679.9314,208.61008
85,5,1028,502,1018.7512,487.91873
86,1,106,242,107.25716,236.60063
86,2,210,227,212.03828,220.37155
86,3,573,152,576.8861,142.81287
86,4,675,219,679.1915,208.31374
86,5,1028,502,1018.6853,487.9386
87,1,106,242,106.795006,236.72911
87,2,210,227,211.85936,220.65462
87,3,573,152,576.68646,142.88799
87,4,675,219,679.39575,208.61697
87,5,1028,502,1018.46936,488.1398
88,1,106,242,106.7145,237.01065
88,2,210,227,211.60396,221.06778
88,3,573,152,576.8402,143.41052
88,4,675,219,679.2197,209.1357
88,5,1028,502,1018.3941,488.9484
89,1,106,242,106.61747,236.91313
89,2,210,227,211.476,220.92386
89,3,573,152,576.8479,143.51799
89,4,675,219,679.16565,209.24532
89,5,1028,502,1018.48706,489.06982
90,1,106,242,106.021675,236.69225
90,2,210,227,211.06119,220.70462
90,3,573,152,576.65656,143.5401
90,4,675,219,679.0825,209.3832
90,5,1028,502,1018.5173,488.9802
91,1,106,242,106.094635,236.95978
91,2,210,227,211.07722,221.03638
91,3,573,152,576.52783,143.76462
91,4,675,219,679.0968,209.70691
91,5,1028,502,1018.70447,489.13098
92,1,106,242,106.25465,237.06845
92,2,210,227,211.1861,221.0774
92,3,573,152,576.238,143.7381
92,4,675,219,679.0652,209.62842
92,5,1028,502,1019.0388,489.16925
93,1,106,242,106.7125,237.1908
93,2,210,227,211.35556,221.13333
93,3,573,152,576.2579,143.67824
93,4,675,219,678.8027,209.43407
93,5,1028,502,1019.85266,489.0082
94,1,106,242,106.500786,237.22636
94,2,210,227,211.28116,221.14903
94,3,573,152,575.896,143.4751
94,4,675,219,678.47845,208.91553
94,5,1028,502,1019.82855,489.09558
95,1,106,242,106.55425,237.1934
95,2,210,227,211.28201,221.12796
95,3,573,152,575.9241,143.41806
95,4,675,219,678.4293,208.93272
95,5,1028,502,1019.8593,489.26346
96,1,106,242,106.5141,237.17747
96,2,210,227,211.28197,221.10805
96,3,573,152,575.89655,143.4573
96,4,675,219,678.38275,208.94908
96,5,1028,502,1019.85175,489.37592
97,1,106,242,106.57282,237.16127
97,2,210,227,211.27621,221.08702
97,3,573,152,575.87866,143.45169
97,4,675,219,678.36285,208.92897
97,5,1028,502,1020.1511,489.60724
98,1,106,242,106.65293,236.59253
98,2,210,227,211.3707,220.60825
98,3,573,152,575.8525,143.27856
98,4,675,219,678.3489,208.68091
98,5,1028,502,1020.4397,489.7121
99,1,106,242,106.68977,236.7572
99,2,210,227,211.37341,220.69502
99,3,573,152,575.8768,143.46445
99,4,675,219,678.19244,209.12924
99,5,1028,502,1020.71783,490.15704
100,1,106,242,106.63973,236.26051
100,2,210,227,211.33192,220.42862
100,3,573,152,575.8852,143.44034
100,4,675,219,678.1626,209.15146
100,5,1028,502,1020.79913,490.23224
101,1,106,242,106.65257,236.25766
101,2,210,227,211.4384,220.61644
101,3,573,152,575.7456,143.77649
101,4,675,219,678.06915,209.66414
101,5,1028,502,1020.78674,490.45227
102,1,106,242,106.20502,236.47375
102,2,210,227,211.09956,220.72028
102,3,573,152,575.1923,143.78574
102,4,675,219,677.7055,209.78017
102,5,1028,502,1020.664,490.64807
103,1,106,242,106.79474,236.46768
103,2,210,227,211.46193,220.52492
103,3,573,152,575.5828,143.15984
103,4,675,219,677.95294,209.12994
103,5,1028,502,1021.74567,490.4382
104,1,106,242,106.38664,236.9143
104,2,210,227,211.00362,221.06834
104,3,573,152,575.0493,143.60693
104,4,675,219,677.31946,209.1619
104,5,1028,502,1021.6956,490.5256
105,1,106,242,106.37453,236.90916
105,2,210,227,210.95288,221.01353
105,3,573,152,575.1265,143.43304
105,4,675,219,677.41376,209.07614
105,5,1028,502,1021.7412,490.46344
106,1,106,242,106.37232,236.98222
106,2,210,227,211.00609,221.1533
106,3,573,152,575.15137,143.56653
106,4,675,219,677.45953,209.10547
106,5,1028,502,1021.6487,490.60175
107,1,106,242,106.18469,236.93329
107,2,210,227,210.90291,220.97865
107,3,573,152,575.1816,143.4996
107,4,675,219,677.4391,209.09732
107,5,1028,502,1021.4514,490.84302
108,1,106,242,106.08553,236.56718
108,2,210,227,210.8868,220.68668
108,3,573,152,575.1912,143.43271
108,4,675,219,677.44476,209.08516
108,5,1028,502,1021.2849,490.90897
109,1,106,242,105.92041,236.23863
109,2,210,227,210.72517,220.42598
109,3,573,152,575.1442,143.37332
109,4,675,219,677.4355,209.07443
109,5,1028,502,1021.1878,491.06073
110,1,106,242,106.28205,235.81927
110,2,210,227,211.11194,219.9751
110,3,573,152,575.63336,143.04353
110,4,675,219,678.00543,209.01219
110,5,1028,502,1021.17786,491.20764
111,1,106,242,106.437775,236.19276
111,2,210,227,211.36642,220.53827
111,3,573,152,575.84467,143.65826
111,4,675,219,678.2207,209.50024
111,5,1028,502,1021.02905,491.76123
112,1,106,242,106.39198,235.94547
112,2,210,227,211.32863,220.18784
112,3,573,152,575.88116,143.41016
112,4,675,219,677.9396,209.36404
112,5,1028,502,1020.9237,491.6884
113,1,106,242,106.406265,235.94621
113,2,210,227,211.31628,220.27371
113,3,573,152,575.6744,143.60677
113,4,675,219,678.1122,209.64322
113,5,1028,502,1020.41254,491.76764
114,1,106,242,106.51866,236.37927
114,2,210,227,211.52751,220.66956
114,3,573,152,575.89923,144.07356
114,4,675,219,678.0391,209.87555
114,5,1028,502,1020.2522,491.75128
115,1,106,242,106.499954,236.13542
115,2,210,227,211.31352,220.32072
115,3,573,152,575.84937,143.70013
115,4,675,219,678.0675,209.70123
115,5,1028,502,1020.0838,490.99243
116,1,106,242,106.503654,236.22093
116,2,210,227,211.33429,220.32965
116,3,573,152,575.8722,143.80789
116,4,675,219,678.07043,209.63167
116,5,1028,502,1019.7364,490.65842
117,1,106,242,106.40523,236.4178
117,2,210,227,211.311,220.97499
117,3,573,152,576.09796,144.1405
117,4,675,219,678.112,210.05919
117,5,1028,502,1019.30786,491.0976
118,1,106,242,106.54399,236.83801
118,2,210,227,211.32043,221.08745
118,3,573,152,576.3208,144.51486
118,4,675,219,678.5412,210.88579
118,5,1028,502,1019.05804,491.4997
119,1,106,242,106.20195,236.1594
119,2,210,227,211.21959,220.59233
119,3,573,152,576.3666,144.22702
119,4,675,219,678.4908,209.95392
119,5,1028,502,1018.65393,490.85464
120,1,106,242,106.15635,236.2709
120,2,210,227,211.13713,220.62637
120,3,573,152,576.3308,144.27652
120,4,675,219,678.35583,210.19705
120,5,1028,502,1018.59406,490.8649
121,1,106,242,106.20535,236.56648
121,2,210,227,211.08417,220.903
121,3,573,152,576.3155,144.29941
121,4,675,219,678.40845,210.0536
121,5,1028,502,1018.5162,490.80902
122,1,106,242,106.05748,236.8611
122,2,210,227,210.98622,221.15909
122,3,573,152,576.14545,144.44946
122,4,675,219,678.141,210.41646
122,5,1028,502,1017.9676,490.99478
123,1,106,242,106.22966,236.65494
123,2,210,227,211.14055,220.95583
123,3,573,152,576.2424,144.37498
123,4,675,219,678.29065,210.23334
123,5,1028,502,1017.9163,490.88226
124,1,106,242,106.04381,236.47983
124,2,210,227,210.89693,220.7663
124,3,573,152,575.8665,144.11691
124,4,675,219,678.0866,210.16168
124,5,1028,502,1017.1859,490.47937
125,1,106,242,106.31109,236.85234
125,2,210,227,211.16391,221.17737
125,3,573,152,576.03076,144.66168
125,4,675,219,678.07275,210.49123
125,5,1028,502,1017.154,490.5452
126,1,106,242,106.40889,236.72298
126,2,210,227,211.27939,220.97356
126,3,573,152,576.2029,144.38135
126,4,675,219,678.2638,210.1751
126,5,1028,502,1017.16583,490.2174
127,1,106,242,106.47918,236.75446
127,2,210,227,211.28061,221.01663
127,3,573,152,576.049,144.53363
127,4,675,219,678.11896,210.30939
127,5,1028,502,1017.1637,490.20218
128,1,106,242,106.60586,237.59879
128,2,210,227,211.33562,221.8345
128,3,573,152,575.8969,144.7768
128,4,675,219,677.9672,210.4587
128,5,1028,502,1017.1595,490.1836
129,1,106,242,106.67096,237.64424
129,2,210,227,211.32869,221.83139
